gene	Gene	Barcodes	PbSTM168_3_GCKO#2GOMOSTM_t1_r1	PbSTM168_4_GCKO#2GOMOSTM_t2_r1	PbSTM168_5_145480GOMOSTM_t1_r1	PbSTM168_6_145480GOMOSTM_t2_r1	PbSTM168_9_GCKO#2GOMOSTM_mf1_r1	PbSTM168_10_GCKO#2GOMOSTM_mf2_r1	PbSTM168_11_145480GOMOSTM_mf1_r1	PbSTM168_12_145480GOMOSTM_mf2_r1	PbSTM168_29_GCKO#2GOMOSTM_d14_mf1.1_r1	PbSTM168_30_GCKO#2GOMOSTM_d14_mf1.2_r1	PbSTM168_31_GCKO#2GOMOSTM_d14_mf2.1_r1	PbSTM168_32_GCKO#2GOMOSTM_d14_mf2.2_r1	PbSTM168_33_145480GOMOSTM_d14_mf1.1_r1	PbSTM168_34_145480GOMOSTM_d14_mf1.2_r1	PbSTM168_35_145480GOMOSTM_d14_mf2.1_r1	PbSTM168_36_145480GOMOSTM_d14_mf2.2_r1	PbSTM168_3_GCKO#2GOMOSTM_t1_r2	PbSTM168_4_GCKO#2GOMOSTM_t2_r2	PbSTM168_5_145480GOMOSTM_t1_r2	PbSTM168_6_145480GOMOSTM_t2_r2	PbSTM168_9_GCKO#2GOMOSTM_mf1_r2	PbSTM168_10_GCKO#2GOMOSTM_mf2_r2	PbSTM168_11_145480GOMOSTM_mf1_r2	PbSTM168_12_145480GOMOSTM_mf2_r2	PbSTM168_29_GCKO#2GOMOSTM_d14_mf1.1_r2	PbSTM168_30_GCKO#2GOMOSTM_d14_mf1.2_r2	PbSTM168_31_GCKO#2GOMOSTM_d14_mf2.1_r2	PbSTM168_32_GCKO#2GOMOSTM_d14_mf2.2_r2	PbSTM168_33_145480GOMOSTM_d14_mf1.1_r2	PbSTM168_34_145480GOMOSTM_d14_mf1.2_r2	PbSTM168_35_145480GOMOSTM_d14_mf2.1_r2	PbSTM168_36_145480GOMOSTM_d14_mf2.2_r2
PBANKA_101700			865.5	662.0	591.5	695.0	2134.5	169.0	834.0	777.0	3018.5	3248.0	486.5	519.5	786.0	876.5	459.0	749.0	495.0	443.5	517.0	484.0	2235.0	120.5	674.0	670.0	2187.5	2620.5	370.0	381.0	546.5	610.5	331.5	684.5
PBANKA_113980			1007.0	924.0	820.5	907.0	1461.0	502.5	451.0	613.5	9.0	4.5	20.0	7.0	0.0	1.0	1.0	2.0	575.5	736.0	623.0	643.0	1418.0	349.5	352.5	532.0	15.0	8.0	7.0	7.0	0.0	0.0	0.0	0.0
PBANKA_051280			950.5	1024.0	838.0	951.5	45.5	399.5	0.0	43.5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	546.0	788.5	565.0	687.0	48.0	309.5	1.0	32.0	0.0	0.0	0.0	0.5	0.0	0.5	0.0	0.0
PBANKA_111920			868.0	642.5	672.0	682.0	31.0	149.5	431.5	526.5	1.0	4.0	110.0	79.5	89.5	86.0	88.5	80.5	506.0	475.0	478.0	504.0	32.0	117.0	354.0	468.0	2.0	1.0	76.5	58.0	62.5	64.5	70.0	103.5
PBANKA_110150			854.0	814.0	744.5	793.5	0.0	36.5	1287.0	1002.5	0.0	0.5	53.0	104.0	0.0	0.0	0.0	0.0	541.0	586.0	488.0	563.0	0.0	14.5	1161.5	753.0	0.0	0.0	47.5	61.0	0.0	0.0	0.0	0.0
PBANKA_010620			880.0	768.5	725.5	791.0	2482.0	390.5	1114.5	928.5	3782.0	3788.5	1182.0	1070.5	0.0	0.0	0.0	0.5	486.5	617.5	509.0	540.5	2356.5	294.5	979.5	715.0	2668.5	3029.5	868.0	769.5	0.0	0.0	1.0	0.0
PBANKA_146300			665.5	612.5	531.0	638.5	616.5	564.5	498.5	1012.0	601.5	605.0	487.5	502.5	425.0	576.0	1013.0	1111.5	382.0	411.5	410.0	442.0	627.5	406.0	397.5	807.5	384.0	488.0	341.0	401.0	326.0	393.5	776.5	973.0
PBANKA_103440			1133.0	886.5	986.0	1060.5	95.0	124.5	381.0	244.0	58.0	29.0	32.5	71.5	67.5	74.0	11.0	68.5	653.5	677.0	658.5	697.5	83.0	79.0	313.5	177.5	29.0	10.5	30.0	57.0	40.5	43.5	6.0	35.0
PBANKA_131270			854.5	713.5	757.0	792.0	548.5	1206.5	1338.0	1989.5	16.0	29.5	33.0	87.0	0.0	0.0	34.5	4.0	496.5	499.5	456.0	492.5	549.5	788.0	1113.0	1403.5	9.5	17.5	22.0	58.0	0.5	0.0	22.5	8.0
PBANKA_134980			583.5	543.5	441.0	504.5	307.0	163.5	294.0	620.0	721.0	672.0	412.5	451.0	804.5	710.0	581.5	740.5	311.5	375.5	264.0	295.0	244.5	116.5	222.5	353.5	468.5	528.5	294.0	335.0	599.0	501.5	407.5	526.5
PBANKA_122540			899.0	566.5	567.5	701.5	1726.5	287.0	205.5	551.0	1685.0	1743.0	617.5	737.0	209.5	181.5	429.5	392.0	531.5	488.0	399.5	495.5	1673.0	196.0	169.5	459.5	1230.0	1284.5	474.0	534.0	127.5	107.5	302.5	298.0
PBANKA_136370			725.0	521.5	558.0	568.5	213.5	1321.5	478.5	1514.0	388.5	385.5	2564.0	2830.5	636.5	839.0	1084.5	1449.0	415.5	435.0	397.0	372.0	235.5	837.5	410.0	1173.0	260.0	307.5	1899.0	2191.0	427.0	519.0	812.5	1210.0
PBANKA_141810			852.0	959.0	776.5	846.5	350.0	0.0	109.0	114.5	0.0	0.0	0.0	3.5	101.5	125.0	66.0	84.0	492.0	664.0	476.0	550.5	295.5	0.0	81.5	86.5	0.0	0.0	0.0	0.0	67.0	87.0	29.0	77.5
PBANKA_090240			934.0	771.5	758.5	792.5	630.0	179.0	736.0	669.0	0.5	0.0	0.0	3.0	894.0	968.5	646.5	689.5	521.5	594.0	557.0	551.5	560.0	140.0	653.5	514.5	0.0	0.0	2.0	1.5	673.5	637.5	493.5	632.5
PBANKA_143400			757.5	678.0	646.5	721.0	606.0	1260.5	836.5	1132.5	484.5	437.0	1372.0	1318.5	988.5	888.5	821.0	885.5	500.0	521.0	463.5	512.5	546.5	807.5	721.5	833.0	364.0	382.0	980.0	979.0	656.5	606.5	579.0	771.0
