PbGEM-ID	gene_id	pool
PbGEM-292488	PBANKA_100060	2
PbGEM-334827	PBANKA_110640	2
PbGEM-276922	PBANKA_060150	2
PbGEM-331827	PBANKA_082640	2
PbGEM-286250	PBANKA_083180	2
PbGEM-343452	PBANKA_145920	2
PbGEM-271442	PBANKA_040240	2
PbGEM-328747	PBANKA_040060	2
PbGEM-318395	PBANKA_140020	2
PbGEM-286938	PBANKA_090030	2
PbGEM-334035	PBANKA_102070	2
PbGEM-277090	PBANKA_060300	2
PbGEM-268195	PBANKA_020670	2
PbGEM-272202	PBANKA_040950	2
PbGEM-277818	PBANKA_060880	2
PbGEM-336427	PBANKA_121320	2
PbGEM-329075	PBANKA_041340	2
PbGEM-335099	PBANKA_111520	2
PbGEM-288737	PBANKA_091410	2
PbGEM-336539	PBANKA_121630	2
PbGEM-330915	PBANKA_071450	2
PbGEM-329707	PBANKA_051710	2
PbGEM-331683	PBANKA_081940	2
PbGEM-337939	PBANKA_132010	2
PbGEM-336811	PBANKA_122510	2
PbGEM-289969	PBANKA_092500	2
PbGEM-285522	PBANKA_082530	2
PbGEM-335691	PBANKA_113240	2
PbGEM-314709	PBANKA_133650	2
PbGEM-324235	PBANKA_144570	2
PbGEM-337115	PBANKA_123590	2
PbGEM-307226	PBANKA_122680	2
PbGEM-072502	PBANKA_082710	2
PbGEM-121322	PBANKA_041050	2
PbGEM-018144	PBANKA_060800	2
PbGEM-030772	PBANKA_091860	2
PbGEM-011394	PBANKA_040410	2
PbGEM-030788	PBANKA_091870	2
PbGEM-086151	PBANKA_051520	2
PbGEM-103704	PBANKA_123730	2
PbGEM-026405	PBANKA_082320	2
PbGEM-026560	PBANKA_082430	2
PbGEM-027375	PBANKA_083040	2
PbGEM-058133	PBANKA_133660	2
PbGEM-080757	PBANKA_145770	2
PbGEM-036774	PBANKA_101700	2
PbGEM-022409	PBANKA_071490	2
PbGEM-043599	PBANKA_112510	2
PbGEM-051034	PBANKA_123230	2
PbGEM-042878	PBANKA_112020	2
PbGEM-030028	PBANKA_091260	2
PbGEM-041992	PBANKA_111370	2
PbGEM-048328	PBANKA_121340	2
PbGEM-110413	PBANKA_141910	2
PbGEM-101938	PBANKA_120800	2
PbGEM-069268	PBANKA_144900	2
PbGEM-064944	PBANKA_141930	2
PbGEM-100629	PBANKA_113740	2
PbGEM-257060	PBANKA_142150	2
PbGEM-533923	PBANKA_051950	2
PbGEM-258884	PBANKA_145910	2
PbGEM-239637	PBANKA_082030	2
PbGEM-258539	PBANKA_144490	2
PbGEM-241496	PBANKA_102970	2
PbGEM-254500	PBANKA_142750	2
PbGEM-258421	PBANKA_144400	2
PbGEM-237372	PBANKA_081110	2
PbGEM-264084	PBANKA_110320	2
PbGEM-265612	PBANKA_071830	2
PbGEM-265044	PBANKA_071750	2
PbGEM-264324	PBANKA_134650	2
PbGEM-238901	PBANKA_081760	2
PbGEM-280034	PBANKA_070130	2
PbGEM-277538	PBANKA_060610	2
PbGEM-317331	PBANKA_135750	2
PbGEM-282066	PBANKA_071650	2
PbGEM-276786	PBANKA_052480	2
PbGEM-327715	PBANKA_010620	2
PbGEM-291216	PBANKA_093380	2
PbGEM-336355	PBANKA_121140	2
PbGEM-299651	PBANKA_111610	2
PbGEM-305842	PBANKA_121680	2
PbGEM-337299	PBANKA_124380	2
PbGEM-328947	PBANKA_040780	2
PbGEM-329547	PBANKA_051060	2
PbGEM-299083	PBANKA_111050	2
PbGEM-341908	PBANKA_050230	2
PbGEM-341828	PBANKA_040220	2
PbGEM-341900	PBANKA_050170	2
PbGEM-341892	PBANKA_041770	2
PbGEM-342636	PBANKA_112670	2
PbGEM-342804	PBANKA_121040	2
PbGEM-343316	PBANKA_142530	2
PbGEM-342140	PBANKA_082380	2
PbGEM-342364	PBANKA_094010	2
PbGEM-343036	PBANKA_131870	2
PbGEM-333419	PBANKA_100210	2
PbGEM-276002	PBANKA_051900	2
PbGEM-303170	PBANKA_114370	2
PbGEM-287946	PBANKA_090780	2
PbGEM-329923	PBANKA_060090	2
PbGEM-266691	PBANKA_010580	2
PbGEM-303650	PBANKA_120110	2
PbGEM-270099	PBANKA_030650	2
PbGEM-336251	PBANKA_120710	2
PbGEM-298853	PBANKA_110890	2
PbGEM-329395	PBANKA_050630	2
PbGEM-283762	PBANKA_080810	2
PbGEM-334995	PBANKA_111090	2
PbGEM-304362	PBANKA_120570	2
PbGEM-270810	PBANKA_031210	2
PbGEM-329451	PBANKA_050790	2
PbGEM-299227	PBANKA_111210	2
PbGEM-288322	PBANKA_091100	2
PbGEM-289193	PBANKA_091690	2
PbGEM-331667	PBANKA_081840	2
PbGEM-337907	PBANKA_131940	2
PbGEM-337971	PBANKA_132100	2
PbGEM-313053	PBANKA_132320	2
PbGEM-334315	PBANKA_103040	2
PbGEM-334403	PBANKA_103330	2
PbGEM-322779	PBANKA_143500	2
PbGEM-334467	PBANKA_103460	2
PbGEM-336035	PBANKA_114550	2
PbGEM-330067	PBANKA_060690	2
PbGEM-336347	PBANKA_121090	2
PbGEM-317507	PBANKA_135870	2
PbGEM-316451	PBANKA_134970	2
PbGEM-273898	PBANKA_050330	2
PbGEM-342756	PBANKA_114140	2
PbGEM-330635	PBANKA_070490	2
PbGEM-226373	PBANKA_093230	2
PbGEM-226413	PBANKA_136370	2
PbGEM-334115	PBANKA_102460	2
PbGEM-329235	PBANKA_050120	2
PbGEM-266100	PBANKA_010110	2
PbGEM-321267	PBANKA_142210	2
PbGEM-072498	PBANKA_061670	2
PbGEM-343204	PBANKA_135970	2
PbGEM-061442	PBANKA_135960	2
PbGEM-329547	PBANKA_051060 	2
PbGEM-054729	PBANKA_131140	3
PbGEM-015545	PBANKA_051490	3
PbGEM-021287	PBANKA_070710	3
PbGEM-057898	PBANKA_133500	3
PbGEM-111802	PBANKA_135260	3
PbGEM-111826	PBANKA_040820	3
PbGEM-032866	PBANKA_093390	3
PbGEM-021894	PBANKA_071120	3
PbGEM-024371	PBANKA_080690	3
PbGEM-050063	PBANKA_122540	3
PbGEM-106899	PBANKA_133490	3
PbGEM-111148	PBANKA_143030	3
PbGEM-063795	PBANKA_141050	3
PbGEM-049404	PBANKA_122100	3
PbGEM-008620	PBANKA_021420	3
PbGEM-058012	PBANKA_133580	3
PbGEM-048959	PBANKA_121800	3
PbGEM-106571	PBANKA_133040	3
PbGEM-100931	PBANKA_114130	3
PbGEM-111172	PBANKA_143080	3
PbGEM-057298	PBANKA_133090	3
PbGEM-021910	PBANKA_071130	3
PbGEM-066521	PBANKA_143060	3
PbGEM-011857	PBANKA_040730	3
PbGEM-035437	PBANKA_100790	3
PbGEM-051214	PBANKA_123360	3
PbGEM-037288	PBANKA_102030	3
PbGEM-032387	PBANKA_093080	3
PbGEM-093488	PBANKA_091670	3
PbGEM-098697	PBANKA_110930	3
PbGEM-312837	PBANKA_132200	3
PbGEM-247164	PBANKA_113860	3
PbGEM-254107	PBANKA_136040	3
PbGEM-249387	PBANKA_134810	3
PbGEM-242532	PBANKA_103360	3
PbGEM-244426	PBANKA_111470	3
PbGEM-256341	PBANKA_143400	3
PbGEM-245297	PBANKA_110480	3
PbGEM-243822	PBANKA_100550	3
PbGEM-232086	PBANKA_051535	3
PbGEM-263492	PBANKA_102020	3
PbGEM-264780	PBANKA_061960	3
PbGEM-228846	PBANKA_040430	3
PbGEM-322203	PBANKA_143090	3
PbGEM-298173	PBANKA_110330	3
PbGEM-328843	PBANKA_040470	3
PbGEM-329163	PBANKA_041710	3
PbGEM-338923	PBANKA_135460	3
PbGEM-322939	PBANKA_143590	3
PbGEM-252132	PBANKA_133820	3
PbGEM-290089	PBANKA_092600	3
PbGEM-335707	PBANKA_113280	3
PbGEM-274330	PBANKA_050720	3
PbGEM-298997	PBANKA_110990	3
PbGEM-336467	PBANKA_121440	3
PbGEM-332595	PBANKA_091510	3
PbGEM-290936	PBANKA_093190	3
PbGEM-330539	PBANKA_070200	3
PbGEM-292784	PBANKA_100250	3
PbGEM-335947	PBANKA_114320	3
PbGEM-313077	PBANKA_132330	3
PbGEM-269179	PBANKA_021460	3
PbGEM-338811	PBANKA_134980	3
PbGEM-340155	PBANKA_143320	3
PbGEM-341107	PBANKA_146100	3
PbGEM-287242	PBANKA_090250	3
PbGEM-330011	PBANKA_060380	3
PbGEM-334667	PBANKA_110150	3
PbGEM-309377	PBANKA_124400	3
PbGEM-238655	PBANKA_081680	3
PbGEM-343052	PBANKA_132360	3
PbGEM-342108	PBANKA_081420	3
PbGEM-232621	PBANKA_051850	3
PbGEM-333539	PBANKA_100590	3
PbGEM-282394	PBANKA_071960	3
PbGEM-248759	PBANKA_112900	3
PbGEM-321843	PBANKA_142810	3
PbGEM-292384	PBANKA_094390	3
PbGEM-328387	PBANKA_030210	3
PbGEM-328507	PBANKA_030660	3
PbGEM-271858	PBANKA_040590	3
PbGEM-334907	PBANKA_110820	3
PbGEM-327755	PBANKA_010720	3
PbGEM-331387	PBANKA_080610	3
PbGEM-267131	PBANKA_010960	3
PbGEM-270690	PBANKA_031130	3
PbGEM-267067	PBANKA_010890	3
PbGEM-272986	PBANKA_041540	3
PbGEM-278298	PBANKA_061300	3
PbGEM-281914	PBANKA_071540	3
PbGEM-299315	PBANKA_111270	3
PbGEM-285842	PBANKA_082820	3
PbGEM-297446	PBANKA_103850	3
PbGEM-335779	PBANKA_113590	3
PbGEM-340195	PBANKA_143430	3
PbGEM-286738	PBANKA_083550	3
PbGEM-334475	PBANKA_103480	3
PbGEM-334571	PBANKA_103870	3
PbGEM-340587	PBANKA_144590	3
PbGEM-330907	PBANKA_071440	3
PbGEM-280330	PBANKA_070350	3
PbGEM-334747	PBANKA_110410	3
PbGEM-065359	PBANKA_142220	3
PbGEM-111690	PBANKA_061670	3
PbGEM-090719	PBANKA_081070	3
PbGEM-026142	PBANKA_082020	3
PbGEM-041727	PBANKA_111200	3
PbGEM-108076	PBANKA_135210	3
PbGEM-022249	PBANKA_071390	3
PbGEM-043765	PBANKA_112620	3
PbGEM-057101	PBANKA_132910	3
PbGEM-088924	PBANKA_070700	3
PbGEM-111006	PBANKA_142880	3
PbGEM-082477	PBANKA_020970	3
PbGEM-027163	PBANKA_082890	3
PbGEM-043631	PBANKA_112530	3
PbGEM-061170	PBANKA_135790	3
PbGEM-052958	PBANKA_124660	3
PbGEM-111449	PBANKA_143440	3
PbGEM-311621	PBANKA_131270	3
PbGEM-255828	PBANKA_143140	3
PbGEM-243303	PBANKA_103680	3
PbGEM-235933	PBANKA_080430	3
PbGEM-226693	PBANKA_010150	3
PbGEM-230990	PBANKA_050690	3
PbGEM-261356	PBANKA_123490	3
PbGEM-245693	PBANKA_113380	3
PbGEM-248306	PBANKA_121690	3
PbGEM-237397	PBANKA_081120	3
PbGEM-246246	PBANKA_113550	3
PbGEM-245479	PBANKA_111870	3
PbGEM-259332	PBANKA_082230	3
PbGEM-239778	PBANKA_082090	3
PbGEM-254861	PBANKA_141300	3
PbGEM-257534	PBANKA_143870	3
PbGEM-264076	PBANKA_140400	3
PbGEM-247010	PBANKA_121240	3
PbGEM-266060	PBANKA_010080	3
